timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734355642498,2558,/complete/search-177,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 2,558 milliseconds, but should not have lasted longer than 500 milliseconds.",12264,291,2,2,https://www.google.com/complete/search?client=firefox&channel=ftr&q=,2557,0,1541
1734355645062,368,/complete/search-178,200,OK,Thread Group 1-1,text,true,,1919,293,2,2,https://www.google.com/complete/search?client=firefox&channel=fen&q=cs,368,0,0
1734355644198,1234,/complete/search-177,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 1,234 milliseconds, but should not have lasted longer than 500 milliseconds.",19144,291,2,2,https://www.google.com/complete/search?client=firefox&channel=ftr&q=,1233,0,502
1734355645433,306,/complete/search-178,200,OK,Thread Group 1-2,text,true,,1917,293,2,2,https://www.google.com/complete/search?client=firefox&channel=fen&q=cs,306,0,0
1734355645432,350,/complete/search-179,200,OK,Thread Group 1-1,text,true,,1449,294,2,2,https://www.google.com/complete/search?client=firefox&channel=fen&q=cse,350,0,0
1734355645740,281,/complete/search-179,200,OK,Thread Group 1-2,text,true,,1449,294,2,2,https://www.google.com/complete/search?client=firefox&channel=fen&q=cse,281,0,0
1734355646023,281,/-180,200,OK,Thread Group 1-2,text,true,,7497,448,3,3,https://cse.buet.ac.bd/,280,0,211
1734355645783,521,/-180,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 521 milliseconds, but should not have lasted longer than 500 milliseconds.",7497,448,3,3,https://cse.buet.ac.bd/,520,0,439
1734355646306,276,/public/img/program/pg-ds.jpg-182,200,OK,Thread Group 1-2,bin,true,,115963,469,3,3,https://cse.buet.ac.bd/public/img/program/pg-ds.jpg,238,0,0
1734355646306,279,/public/img/program/pg-ds.jpg-182,200,OK,Thread Group 1-1,bin,true,,115963,469,3,3,https://cse.buet.ac.bd/public/img/program/pg-ds.jpg,244,0,0
1734355646196,959,/complete/search-177,200,OK,Thread Group 1-3,text,false,"The operation lasted too long: It took 959 milliseconds, but should not have lasted longer than 500 milliseconds.",18990,291,3,3,https://www.google.com/complete/search?client=firefox&channel=ftr&q=,959,0,360
1734355647158,297,/complete/search-178,200,OK,Thread Group 1-3,text,true,,1914,293,3,3,https://www.google.com/complete/search?client=firefox&channel=fen&q=cs,297,0,0
1734355646585,870,/submit/firefox-desktop/newtab/1/4c825728-fb4c-4f22-895c-bd1fe3ca2115-181,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 870 milliseconds, but should not have lasted longer than 500 milliseconds.",939,3036,3,3,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/4c825728-fb4c-4f22-895c-bd1fe3ca2115,870,0,581
1734355646587,869,/submit/firefox-desktop/newtab/1/4c825728-fb4c-4f22-895c-bd1fe3ca2115-181,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 869 milliseconds, but should not have lasted longer than 500 milliseconds.",867,3036,3,3,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/4c825728-fb4c-4f22-895c-bd1fe3ca2115,868,0,579
1734355647458,312,/complete/search-183,200,OK,Thread Group 1-2,text,true,,1315,291,3,3,https://www.google.com/complete/search?client=firefox&channel=ftr&q=,312,0,0
1734355647459,312,/complete/search-183,200,OK,Thread Group 1-1,text,true,,1315,291,3,3,https://www.google.com/complete/search?client=firefox&channel=ftr&q=,312,0,0
1734355647458,313,/complete/search-179,200,OK,Thread Group 1-3,text,true,,1449,294,3,3,https://www.google.com/complete/search?client=firefox&channel=fen&q=cse,313,0,0
1734355647774,286,/-180,200,OK,Thread Group 1-3,text,true,,7497,448,3,3,https://cse.buet.ac.bd/,285,0,36
1734355647772,290,/moodle/-184,200,OK,Thread Group 1-1,text,true,,12081,455,3,3,https://cse.buet.ac.bd/moodle/,289,0,0
1734355647772,294,/moodle/-184,200,OK,Thread Group 1-2,text,true,,12081,455,3,3,https://cse.buet.ac.bd/moodle/,292,0,0
1734355648061,52,/public/img/program/pg-ds.jpg-182,200,OK,Thread Group 1-3,bin,true,,115963,469,3,3,https://cse.buet.ac.bd/public/img/program/pg-ds.jpg,20,0,0
1734355648064,62,/moodle/my/courses.php-185,200,OK,Thread Group 1-1,text,true,,8815,517,3,3,https://cse.buet.ac.bd/moodle/my/courses.php,61,0,0
1734355648067,65,/moodle/my/courses.php-185,200,OK,Thread Group 1-2,text,true,,8814,517,3,3,https://cse.buet.ac.bd/moodle/my/courses.php,64,0,0
1734355648127,48,/moodle/course/index.php-186,200,OK,Thread Group 1-1,text,true,,8122,519,3,3,https://cse.buet.ac.bd/moodle/course/index.php,47,0,0
1734355648133,49,/moodle/course/index.php-186,200,OK,Thread Group 1-2,text,true,,8122,519,3,3,https://cse.buet.ac.bd/moodle/course/index.php,48,0,0
